Index,Year,Corps,Date,Show Location,Name Temp,State,Location,Show Name,Class,Fake Class,Perf Order,General Effect Visual #1,General Effect Visual #2,GE Visual Average,General Effect Music #1,General Effect Music #2,GE Music Average,General Effect Total,Visual Proficiency,Visual Analysis,Visual Color Guard,Visual Total,Music Brass,Music Analysis 1,Music Analysis 2,Music Analysis Average,Music Percussion 1,Music Percussion 2,Percussion Average,Music Total,Sub Total,Pen,Total Score,Place,GE Visual Total,GE Music Total,MA Total,Perc Total,Lookup,Logo
1,2023,Blue Devils,8/12/2023,"Indianapolis, IN",DCI World Championship Finals,IN,"Indianapolis, IN",DCI World Championship Finals,World/Div 1,World/Div 1,,19.6,20,19.8,19.8,19.95,19.875,39.675,20,19.75,19.9,29.825,19.8,19.8,19.7,19.75,19.4,,,29.475,98.975,0,98.975,1,19.8,19.875,19.75,19.4,Blue Devils45150,https://drive.google.com/thumbnail?id=15lpn1K7pP21zIQi0iF9Uv4ofzE-UF26b
2,2023,Bluecoats,8/12/2023,"Indianapolis, IN",DCI World Championship Finals,IN,"Indianapolis, IN",DCI World Championship Finals,World/Div 1,World/Div 1,,19.5,19.8,19.65,19.35,19.5,19.425,39.075,19.7,19.8,19.4,29.45,19.75,19.45,19.6,19.525,19.15,,,29.213,97.738,0,97.738,2,19.65,19.425,19.525,19.15,Bluecoats45150,https://drive.google.com/thumbnail?id=1vwZHcUOhJys8nUcKBpegIWXknKOIZCXZ
3,2023,Carolina Crown,8/12/2023,"Indianapolis, IN",DCI World Championship Finals,IN,"Indianapolis, IN",DCI World Championship Finals,World/Div 1,World/Div 1,,19.7,19.3,19.5,19.5,19.7,19.6,39.1,19.5,19.4,19.3,29.1,19.9,19.7,19.75,19.725,19.3,,,29.463,97.663,0,97.663,3,19.5,19.6,19.725,19.3,Carolina Crown45150,https://drive.google.com/thumbnail?id=1AUeEIURtd1QHJnZqJHTruP9Xo9-PNc2R
4,2023,Boston Crusaders,8/12/2023,"Indianapolis, IN",DCI World Championship Finals,IN,"Indianapolis, IN",DCI World Championship Finals,World/Div 1,World/Div 1,,19.3,19.4,19.35,19.25,19.3,19.275,38.625,19.4,19.5,19.5,29.2,19.6,19.5,19.5,19.5,19.1,,,29.1,96.925,0,96.925,4,19.35,19.275,19.5,19.1,Boston Crusaders45150,https://drive.google.com/thumbnail?id=1jfJTsqz5goXSgjvDmSoHylbaKXMNw3wG
5,2023,The Cadets,8/12/2023,"Indianapolis, IN",DCI World Championship Finals,IN,"Indianapolis, IN",DCI World Championship Finals,World/Div 1,World/Div 1,,19,18.6,18.8,18.9,18.9,18.9,37.7,18.7,18.8,18.8,28.15,18.9,19,19.05,19.025,19,,,28.463,94.313,0,94.313,5,18.8,18.9,19.025,19,The Cadets45150,https://drive.google.com/thumbnail?id=1PR4iTi_P_hA4DcfOP93p-Y1aFfn00s0D
6,2023,Mandarins,8/12/2023,"Indianapolis, IN",DCI World Championship Finals,IN,"Indianapolis, IN",DCI World Championship Finals,World/Div 1,World/Div 1,,18.6,18.9,18.75,18.8,18.7,18.75,37.5,18.85,19,18.4,28.125,18.7,18.8,18.9,18.85,18.75,,,28.15,93.775,0,93.775,6,18.75,18.75,18.85,18.75,Mandarins45150,https://drive.google.com/thumbnail?id=1nQFPw3qJb5t5LYcZmrt9YOq3dW_eHHTj
7,2023,Phantom Regiment,8/12/2023,"Indianapolis, IN",DCI World Championship Finals,IN,"Indianapolis, IN",DCI World Championship Finals,World/Div 1,World/Div 1,,18.7,18.7,18.7,18.5,18.6,18.55,37.25,19,18.7,18.2,27.95,18.55,18.7,18.85,18.775,18.25,,,27.788,92.988,0,92.988,7,18.7,18.55,18.775,18.25,Phantom Regiment45150,https://drive.google.com/thumbnail?id=1Yy0n7COAoQAgJcbTHLAbFwX47LjATsXO
8,2023,The Cavaliers,8/12/2023,"Indianapolis, IN",DCI World Championship Finals,IN,"Indianapolis, IN",DCI World Championship Finals,World/Div 1,World/Div 1,,18.2,18.2,18.2,18.15,18.1,18.125,36.325,18.3,18,18.5,27.4,18.4,18.4,19.2,18.8,19.6,,,28.4,92.125,0,92.125,8,18.2,18.125,18.8,19.6,The Cavaliers45150,https://drive.google.com/thumbnail?id=1r4nQiuQ0yEiWu2sdWRLe749gRoblRqOZ
9,2023,Colts,8/12/2023,"Indianapolis, IN",DCI World Championship Finals,IN,"Indianapolis, IN",DCI World Championship Finals,World/Div 1,World/Div 1,,18.3,17.9,18.1,18.25,18.2,18.225,36.325,17.8,18.2,17.6,26.8,17.95,18.2,18.45,18.325,18,,,27.138,90.263,0,90.263,9,18.1,18.225,18.325,18,Colts45150,https://drive.google.com/thumbnail?id=1jV6tEShx--Z-ASNRU_hIygXzrA1BRwAE
10,2023,Troopers,8/12/2023,"Indianapolis, IN",DCI World Championship Finals,IN,"Indianapolis, IN",DCI World Championship Finals,World/Div 1,World/Div 1,,17.9,18,17.95,18.1,17.9,18,35.95,17.4,17.5,17.2,26.05,18.2,18,18.6,18.3,18.45,,,27.475,89.475,0,89.475,10,17.95,18,18.3,18.45,Troopers45150,https://drive.google.com/thumbnail?id=1GY3GlTp0MYF_iJN6fLF-VNDFxR_jJc2b
